student_id,attendance_rate,engagement_score,average_quiz_score,assignment_score,lesson_completion_rate,study_hours_per_week,late_submissions,forum_posts,practice_exercises_completed,previous_failures,course_level,primary_topic,pass_fail,risk_level,engagement_level,weak_topic
1,95,88,91,89,96,12,0,8,35,0,beginner,python,pass,low,high,none
2,82,74,78,80,84,8,1,5,24,0,beginner,sql,pass,low,medium,joins
3,61,48,52,57,50,4,3,1,8,1,intermediate,networking,fail,high,low,subnetting
4,72,62,66,64,68,6,2,3,15,0,intermediate,cybersecurity,pass,medium,medium,threats
5,45,35,41,39,32,2,5,0,4,2,advanced,web,fail,high,low,javascript
6,88,81,84,86,90,10,0,7,31,0,beginner,python,pass,low,high,functions
7,67,55,59,61,58,5,2,2,12,1,intermediate,sql,fail,medium,low,joins
8,93,86,88,90,94,11,0,9,34,0,advanced,networking,pass,low,high,routing
9,58,44,49,46,42,3,4,1,7,1,beginner,cybersecurity,fail,high,low,malware
10,76,69,73,70,75,7,1,4,20,0,intermediate,web,pass,medium,medium,css
11,84,79,82,77,86,9,1,5,26,0,advanced,python,pass,low,medium,oop
12,52,39,43,45,37,3,4,0,6,2,beginner,sql,fail,high,low,select_queries
13,79,70,76,74,80,8,1,4,23,0,intermediate,networking,pass,medium,medium,tcp_udp
14,64,51,55,53,57,4,3,2,10,1,advanced,cybersecurity,fail,high,low,encryption
15,91,83,87,85,92,11,0,8,33,0,beginner,web,pass,low,high,none
16,73,64,68,66,70,6,2,3,16,0,intermediate,python,pass,medium,medium,loops
17,49,31,38,35,30,2,6,0,3,2,advanced,sql,fail,high,low,joins
18,86,77,81,83,88,9,0,6,28,0,beginner,networking,pass,low,medium,subnetting
19,69,58,62,60,63,5,2,2,14,1,intermediate,cybersecurity,fail,medium,low,firewalls
20,97,90,94,93,98,13,0,10,38,0,advanced,web,pass,low,high,none
21,55,42,48,44,40,3,4,1,7,1,beginner,python,fail,high,low,functions
22,78,72,75,79,82,8,1,4,22,0,intermediate,sql,pass,medium,medium,joins
23,62,50,57,55,54,4,3,2,11,1,advanced,networking,fail,high,low,routing
24,89,84,86,88,91,10,0,7,30,0,beginner,cybersecurity,pass,low,high,encryption
25,74,66,70,67,73,7,1,3,18,0,intermediate,web,pass,medium,medium,responsive_design
26,47,36,40,42,35,2,5,0,5,2,advanced,python,fail,high,low,oop
27,81,76,79,78,83,8,1,5,25,0,beginner,sql,pass,low,medium,select_queries
28,66,54,60,59,61,5,2,2,13,1,intermediate,networking,fail,medium,low,tcp_udp
29,92,87,90,92,95,12,0,9,36,0,advanced,cybersecurity,pass,low,high,none
30,71,63,67,65,69,6,2,3,17,0,beginner,web,pass,medium,medium,javascript
